expression,reading,meaning,tags
昼,ひる,"noon, daytime",JLPT JLPT_5 JLPT_N5
昼御飯,ひるごはん,"lunch, midday meal",Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5
広い,ひろい,spacious; wide; broad,Genki Genki_Ln.15 Intermediate_Japanese Intermediate_Japanese_Ln.15 JLPT JLPT_5 JLPT_N5
フィルム,フィルム,film (roll of),JLPT JLPT_5 JLPT_N5
封筒,ふうとう,envelope,Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_5 JLPT_N5
プール,プール,swimming pool,Genki Genki_Ln.15 JLPT JLPT_5 JLPT_N5
フォーク,フォーク,fork,JLPT JLPT_5 JLPT_N5
吹く,ふく,"to blow (wind, etc.)",Genki Genki_Ln.22 JLPT JLPT_3 JLPT_5 JLPT_N5
服,ふく,clothes,Genki Genki_Ln.12 JLPT JLPT_3 JLPT_5 JLPT_N5
二つ,ふたつ,two things,Genki Genki_Ln.9 JLPT JLPT_5 JLPT_N5
豚肉,ぶたにく,pork,JLPT JLPT_5 JLPT_N5
二人,ふたり,two people,Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5
二日,ふつか,two days; second day of the month,Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5
太い,ふとい,"fat, thick",JLPT JLPT_5 JLPT_N5
冬,ふゆ,winter,Genki Genki_Ln.8 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_5 JLPT_N5
降る,ふる,"to precipitate, to fall (e.g., rain, snow, etc.)",Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_3 JLPT_5 JLPT_N5
古い,ふるい,"old (in reference to objects, not people), aged, ancient",Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5
～分,～ふん,~ minutes,JLPT JLPT_5 JLPT_N5
文章,ぶんしょう,"sentence, text",JLPT JLPT_5 JLPT_N5
ページ,ページ,a page,Genki Genki_Ln.6 JLPT JLPT_5 JLPT_N5
下手,へた,"unskillful, poor",JLPT JLPT_5 JLPT_N5
ベッド,ベッド,bed,JLPT JLPT_5 JLPT_N5
ペット,ペット,pet,Genki Genki_Ln.15 JLPT JLPT_3 JLPT_5 JLPT_N5
部屋,へや,a room,Genki Genki_Ln.5 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5
辺,へん,"area, vicinity",JLPT JLPT_5 JLPT_N5
ペン,ペン,pen,Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5
勉強,べんきょう (する),study,JLPT JLPT_3 JLPT_5 JLPT_N5
便利,べんり,"convenient, handy",JLPT JLPT_5 JLPT_N5
帽子,ぼうし,hat; cap,Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5
ボールペン,ボールペン,ball-point pen,JLPT JLPT_5 JLPT_N5
外,ほか,"other, the rest",JLPT JLPT_3 JLPT_5 JLPT_N5
ポケット,ポケット,pocket,JLPT JLPT_5 JLPT_N5
欲しい,ほしい,"to want, in need of",JLPT JLPT_5 JLPT_N5
ポスト,ポスト,"mailbox; post, position",JLPT JLPT_5 JLPT_N5
細い,ほそい,"thin, slender, fine",JLPT JLPT_5 JLPT_N5
ボタン,ボタン,button,JLPT JLPT_5 JLPT_N5
ホテル,ホテル,hotel,Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5
本,ほん,book,Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5
～本,～ほん,counter for long cylindrical things,JLPT JLPT_2 JLPT_5 JLPT_N5
本棚,ほんだな,bookshelf,JLPT JLPT_5 JLPT_N5
本当,ほんとう,"real, true",JLPT JLPT_3 JLPT_5 JLPT_N5
～枚,～まい,counter for flat things,JLPT JLPT_5 JLPT_N5
毎朝,まいあさ,every morning,Genki Genki_Ln.19 JLPT JLPT_5 JLPT_N5
毎月,まいげつ; まいつき,"every month, monthly",JLPT JLPT_5 JLPT_N5
毎週,まいしゅう,every week,Genki Genki_Ln.8 JLPT JLPT_5 JLPT_N5
毎日,まいにち,every day,Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5
毎年,まいねん; まいとし,"every year, yearly, annually",JLPT JLPT_5 JLPT_N5
毎晩,まいばん,every night,Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5
前,まえ,"before, in front",Genki Genki_Ln.17 JLPT JLPT_5 JLPT_N5
～前,～まえ,in front of ~,JLPT JLPT_5 JLPT_N5
曲る,まがる,"to turn, to bend",JLPT JLPT_3 JLPT_5 JLPT_N5
まずい,まずい,"terrible (in reference to food), unappetizing, unpleasant (taste)",Genki Genki_Ln.23 JLPT JLPT_5 JLPT_N5
また,また,and; furthermore,Genki Genki_Ln.20 Intermediate_Japanese Intermediate_Japanese_Ln.5 JLPT JLPT_3 JLPT_5 JLPT_N5
まだ,まだ,"yet, still, besides",Genki Genki_Ln.19 JLPT JLPT_3 JLPT_5 JLPT_N5
町,まち,town; city,Genki Genki_Ln.4 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_3 JLPT_5 JLPT_N5
待つ,まつ,to wait,JLPT JLPT_3 JLPT_5 JLPT_N5
まっすぐ,まっすぐ,"straight (ahead), direct",JLPT JLPT_3 JLPT_5 JLPT_N5
マッチ,マッチ,match,JLPT JLPT_5 JLPT_N5
窓,まど,window,Genki Genki_Ln.6 JLPT JLPT_5 JLPT_N5
丸い; 円い,まるい,"round, circular",JLPT JLPT_3 JLPT_5 JLPT_N5
万,まん,ten thousand,JLPT JLPT_5 JLPT_N5
万年筆,まんねんひつ,fountain pen,JLPT JLPT_5 JLPT_N5
磨く,みがく,to brush (teeth); to polish,Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5
右,みぎ,right hand side,JLPT JLPT_5 JLPT_N5
短い,みじかい,short (length),Genki Genki_Ln.7 Intermediate_Japanese Intermediate_Japanese_Ln.11 JLPT JLPT_5 JLPT_N5
水,みず,water,Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5
店,みせ,"store, shop",Genki Genki_Ln.13 Intermediate_Japanese Intermediate_Japanese_Ln.6 JLPT JLPT_5 JLPT_N5
見せる,みせる,"to show, to display",Genki Genki_Ln.16 JLPT JLPT_5 JLPT_N5
道,みち,"road, street; way, directions",Genki Genki_Ln.16 JLPT JLPT_5 JLPT_N5
三日,みっか,"three days, third day of the month",Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5
三つ,みっつ,three things,Genki Genki_Ln.9 JLPT JLPT_5 JLPT_N5
緑,みどり,green,JLPT JLPT_5 JLPT_N5
皆さん,みなさん,"all of you, everyone",Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_5 JLPT_N5
南,みなみ,South,Intermediate_Japanese Intermediate_Japanese_Ln.10 JLPT JLPT_5 JLPT_N5
耳,みみ,ear,Intermediate_Japanese Intermediate_Japanese_Ln.5 JLPT JLPT_5 JLPT_N5
見る,みる,"to see, to look",JLPT JLPT_3 JLPT_5 JLPT_N5
みんな,みんな,"all, everyone, everybody",Genki Genki_Ln.9 JLPT JLPT_3 JLPT_5 JLPT_N5
六日,むいか,six days; sixth day of month,Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5
向こう,むこう,"beyond, over there",JLPT JLPT_5 JLPT_N5
難しい,むずかしい,difficult,Genki Genki_Ln.5 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5
六つ,むっつ,six things,Genki Genki_Ln.9 JLPT JLPT_5 JLPT_N5
村,むら,village,Intermediate_Japanese Intermediate_Japanese_Ln.10 JLPT JLPT_5 JLPT_N5
目,め,eye(s),Genki Genki_Ln.7 JLPT JLPT_3 JLPT_5 JLPT_N5
メートル,メートル,meter,JLPT JLPT_5 JLPT_N5
眼鏡,めがね,eye glasses,Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5
もう,もう,already; again; more,Genki Genki_Ln.9 JLPT JLPT_2 JLPT_5 JLPT_N5
木曜日,もくようび,Thursday,Genki Genki_Ln.4 JLPT JLPT_3 JLPT_5 JLPT_N5
もしもし,もしもし,Hello? (used on the phone),Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5
持つ,もつ,"to hold, to carry; to possess",JLPT JLPT_5 JLPT_N5
もっと,もっと,more,Genki Genki_Ln.11 JLPT JLPT_3 JLPT_5 JLPT_N5
物,もの,thing (concrete object),Genki Genki_Ln.12 JLPT JLPT_3 JLPT_5 JLPT_N5
門,もん,gate,JLPT JLPT_5 JLPT_N5
問題,もんだい,a problem,Intermediate_Japanese Intermediate_Japanese_Ln.11 JLPT JLPT_5 JLPT_N5
～屋,～や,~ shop,JLPT_N5
八百屋,やおや,greengrocer,JLPT JLPT_5 JLPT_N5
野菜,やさい,vegetable,Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5
易しい,やさしい,"easy, plain, simple",JLPT JLPT_5 JLPT_N5
安い,やすい,inexpensive; cheap (things),Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5
休み,やすみ,holiday; day off; absence,Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5
休む,やすむ,"to rest, to have a break, to get time off",JLPT JLPT_5 JLPT_N5
八つ,やっつ,eight things,Genki Genki_Ln.9 JLPT JLPT_5 JLPT_N5
山,やま,mountain,Genki Genki_Ln.11 JLPT JLPT_5 JLPT_N5
やる,やる,"to do; to give (to pets, parents, siblings, etc.)",Genki Genki_Ln.21 JLPT JLPT_4 JLPT_5 JLPT_N5
夕方,ゆうがた,"late afternoon (typically just before dinner time), evening",Genki Genki_Ln.18 Intermediate_Japanese Intermediate_Japanese_Ln.10 JLPT JLPT_5 JLPT_N5
夕飯,ゆうはん,"dinner, supper, evening meal",JLPT JLPT_4 JLPT_5 JLPT_N5
郵便局,ゆうびんきょく,post office,Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5
昨夜,ゆうべ,last night,JLPT JLPT_3 JLPT_5 JLPT_N5
有名,ゆうめい,famous,JLPT JLPT_5 JLPT_N5
雪,ゆき,snow,Genki Genki_Ln.12 JLPT JLPT_3 JLPT_5 JLPT_N5
ゆっくりと,ゆっくりと,"slowly, at ease",JLPT JLPT_5 JLPT_N5
八日,ようか,eight days; eighth day of the month,Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5
洋服,ようふく,Western-style clothes,JLPT JLPT_5 JLPT_N5
よく,よく,"frequently, often (much); well, skillfully",Genki Genki_Ln.14 Genki_Ln.3 JLPT JLPT_5 JLPT_N5
横,よこ,beside; side; width,Intermediate_Japanese Intermediate_Japanese_Ln.11 JLPT JLPT_5 JLPT_N5
四日,よっか,four days; fourth day of the month,Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5
四つ,よっつ,four things,Genki Genki_Ln.9 JLPT JLPT_2 JLPT_5 JLPT_N5
呼ぶ,よぶ,to call (one's name); to invite,Genki Genki_Ln.19 JLPT JLPT_3 JLPT_5 JLPT_N5
読む,よむ,to read,JLPT JLPT_5 JLPT_N5
夜,よる,"evening, night",Genki Genki_Ln.6 JLPT JLPT_3 JLPT_5 JLPT_N5
弱い,よわい,weak,JLPT JLPT_5 JLPT_N5
来月,らいげつ,next month,Genki Genki_Ln.8 JLPT JLPT_5 JLPT_N5
来週,らいしゅう,next week,Genki Genki_Ln.6 JLPT JLPT_5 JLPT_N5
来年,らいねん,next year,Genki Genki_Ln.6 JLPT JLPT_5 JLPT_N5
ラジオ,ラジオ,radio,Genki Genki_Ln.14 JLPT JLPT_5 JLPT_N5
ラジオカセ,ラジオカセ,radio cassette player,JLPT JLPT_5 JLPT_N5
りっぱ,りっぱ,"splendid, fine",JLPT JLPT_3 JLPT_5 JLPT_N5
留学生,りゅうがくせい,international student,Genki Genki_Ln.1 JLPT JLPT_5 JLPT_N5
両親,りょうしん,"parents (lit., both parents)",Genki Genki_Ln.14 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5
料理,りょうり,cooking; cuisine,Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_5 JLPT_N5
旅行,りょこう,"travel, trip",Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5
零,れい,"zero, nought",JLPT JLPT_3 JLPT_5 JLPT_N5
冷蔵庫,れいぞうこ,refrigerator,Genki Genki_Ln.18 JLPT JLPT_5 JLPT_N5
レコード,レコード,record,JLPT JLPT_5 JLPT_N5
レストラン,レストラン,restaurant,Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5
練習,れんしゅう (する),(to) practice,JLPT JLPT_5 JLPT_N5
廊下,ろうか,corridor,JLPT JLPT_5 JLPT_N5
六,ろく,six,JLPT JLPT_5 JLPT_N5
ワイシャツ,ワイシャツ,"shirt (lit: white shirt), business shirt",JLPT JLPT_5 JLPT_N5
若い,わかい,young,Genki Genki_Ln.9 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5
分かる,わかる,to understand,JLPT JLPT_5 JLPT_N5
忘れる,わすれる,to forget,Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_5 JLPT_N5
私,わたし,"I, myself",Genki Genki_Ln.1 JLPT JLPT_5 JLPT_N5
私,わたくし,"I (formal), myself, private affairs",Genki Genki_Ln.13 JLPT JLPT_2 JLPT_5 JLPT_N5
渡す,わたす,to hand (something) over (v.t.); to get across,Intermediate_Japanese Intermediate_Japanese_Ln.6 JLPT JLPT_5 JLPT_N5
渡る,わたる,"to cross over, to go across",JLPT JLPT_5 JLPT_N5
悪い,わるい,"bad, sinful; inferior",Genki Genki_Ln.12 Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_5 JLPT_N5
踏む,ふむ,"to step on, to tread on",JLPT JLPT_N4
～区,～く,"~ district, ~ ward, ~ borough",JLPT JLPT_N4
すっと,すっと,"straight, quickly",JLPT JLPT_N4
盗む,ぬすむ,to steal; to rob,Genki Genki_Ln.21 JLPT JLPT_N4
大抵,たいてい,"generally, usually",Genki Genki_Ln.3 JLPT JLPT_N4
とうとう,とうとう,"finally, at last",JLPT JLPT_N4
ガソリン,ガソリン,"gasoline, petrol",Genki Genki_Ln.21 JLPT JLPT_N4
鳴る,なる,"to sound, to ring (v.i.)",Intermediate_Japanese_Ln.2 JLPT JLPT_N4
しっかり,しっかり,"firmly, steady",JLPT JLPT_N4
生きる,いきる,to live,JLPT JLPT_N4
苦い,にがい,bitter,JLPT JLPT_N4
沸く,わく,"to boil, to grow hot",JLPT JLPT_N4
意見,いけん,"opinion, view, idea",JLPT JLPT_N4
やはり; やっぱり,やはり; やっぱり,"as I thought, absolutely",JLPT JLPT_N4
漫画,まんが,"comic (book), cartoon",Genki Genki_Ln.14 JLPT JLPT_N4
ステレオ,ステレオ,stereo,JLPT JLPT_N4
医学,いがく,medical science,JLPT JLPT_N4
テキスト,テキスト,text; text book,JLPT JLPT_N4
～月,～つき,month,JLPT JLPT_N4
折る,おる,"to snap, to break; to bend",JLPT JLPT_N4
～会,～かい,~ meeting,JLPT JLPT_N4
うかがう,うかがう,to ask,JLPT JLPT_N4
聞こえる,きこえる,"to be heard, to be audible",JLPT JLPT_N4
僕,ぼく,I (used by men towards those of equal or lower status),Genki Genki_Ln.5 JLPT JLPT_N4
必ず,かならず,"surely, certainly",Intermediate_Japanese_Ln.8 JLPT JLPT_N4
壊す,こわす,"to break, to break down",JLPT JLPT_N4
怒る,おこる,to get angry; to scold angrily,Genki Genki_Ln.19 JLPT JLPT_N4
床屋,とこや,barber's (shop),Genki Genki_Ln.10 Intermediate_Japanese_Ln.6 JLPT JLPT_N4
オートバイ,オートバイ,motorcycle (lit: auto-bi(ke)),JLPT JLPT_N4
運動,うんどうする,exercise,JLPT JLPT_N4
止む,やむ,"to cease, to stop",JLPT JLPT_N4
もし,もし,if,JLPT JLPT_N4
表,おもて,surface; front; outside,JLPT JLPT_N4
大学生,だいがくせい,"college student, university student",Genki Genki_Ln.1 Genki_Ln.8 JLPT JLPT_N4
運転手,うんてんしゅ,driver (by occupation),Intermediate_Japanese_Ln.6 JLPT JLPT_N4
予習,よしゅう,preparation of lessons (for class),Genki Genki_Ln.22 Intermediate_Japanese_Ln.5 JLPT JLPT_N4
心配,しんぱいする,"worry, concern",JLPT JLPT_N4
別,べつ,"distinction, different",JLPT JLPT_N4
非常に,ひじょうに,extremely; very,Intermediate_Japanese_Ln.2 JLPT JLPT_N4
お宅,おたく,(someone else's) house; home -- polite word for 家 (いえ) --,Genki Genki_Ln.13 Intermediate_Japanese_Ln.7 JLPT JLPT_N4
柔らかい,やわらかい,"soft (in reference to texture), tender",JLPT JLPT_N4
拾う,ひろう,"to pick up (something), to find",Genki Genki_Ln.22 JLPT JLPT_N4
～ございます,～ございます,"to be (polite), to exist",JLPT JLPT_N4
気,き,"spirit, mood",JLPT JLPT_N4
比べる,くらべる,to compare,JLPT JLPT_N4
ほとんど,ほとんど,"mostly, almost",Intermediate_Japanese_Ln.7 JLPT JLPT_N4
つもり,つもり,"intention, plan",JLPT JLPT_N4
郊外,こうがい,"suburb, outskirts",JLPT JLPT_N4
だめ,だめ,"useless, no good, hopeless",JLPT JLPT_N4
売り場,うりば,place where things are sold,JLPT JLPT_N4
正月,しょうがつ,"New Year, New Year's Day",JLPT JLPT_N4
規則,きそく,"rule, regulation",JLPT JLPT_N4
うん,うん,"yes (informal), all right (ok)",Genki Genki_Ln.8 JLPT JLPT_N4
発音,はつおん,pronunciation,JLPT JLPT_N4
焼く,やく,"to bake, to grill",Genki Genki_Ln.21 JLPT JLPT_N4
屋上,おくじょう,rooftop,JLPT JLPT_N4
失礼,しつれい,"discourtesy, impoliteness; Excuse me",JLPT JLPT_N4
ごみ,ごみ,"trash, garbage",Genki Genki_Ln.16 JLPT JLPT_N4
アフリカ,アフリカ,Africa,JLPT JLPT_N4
点,てん,"mark, score, grade; point, dot",Intermediate_Japanese_Ln.5 JLPT JLPT_N4
一生懸命,いっしょうけんめい,"very hard (as in ""to work hard""), with utmost effort",Intermediate_Japanese_Ln.5 JLPT JLPT_N4
今度,こんど,"now, this time, near future, one of these days, next time",Genki Genki_Ln.9 JLPT JLPT_N4
機会,きかい,"chance, opportunity",JLPT JLPT_N4
建てる,たてる,to build,JLPT JLPT_N4
複雑,ふくざつ,"complexity, complication",JLPT JLPT_N4
彼,かれ,"he, boyfriend",Genki Genki_Ln.12 Intermediate_Japanese_Ln.8 JLPT JLPT_N4
いらっしゃる,いらっしゃる,"-- honorific expression for いく, くる, and いる --",Genki Genki_Ln.19 JLPT JLPT_N4
布団,ふとん,futon,JLPT JLPT_N4
大事,だいじ,"important, valuable, serious matter",JLPT JLPT_N4
贈り物,おくりもの,a gift; a present,Intermediate_Japanese_Ln.9 JLPT JLPT_N4
泥棒,どろぼう,thief; burglar,Genki Genki_Ln.21 JLPT JLPT_N4
～製,～せい,made in ~,JLPT JLPT_N4
注意,ちゅうい,"caution, attention",JLPT JLPT_N4
台風,たいふう,typhoon,Genki Genki_Ln.16 JLPT JLPT_N4
日,ひ,"sun, sunshine, day",Genki Genki_Ln.16 JLPT JLPT_N4
～軒,～けん,counter for houses,JLPT JLPT_N4
そう,そう,"really, (is that) so; yes, right",JLPT JLPT_N4
通る,とおる,"to pass (by), to go through",JLPT JLPT_N4
過ぎる,すぎる,"to exceed, to go beyond",JLPT JLPT_N4
レポート; リポート,レポート; リポート,report,JLPT JLPT_N4
葉,は,leaf,JLPT JLPT_N4
必要,ひつよう,necessary,JLPT JLPT_N4
課長,かちょう,section manager,Intermediate_Japanese_Ln.7 JLPT JLPT_N4
地震,じしん,earthquake,Genki Genki_Ln.15 JLPT JLPT_N4
すると,すると,"and, then",JLPT JLPT_N4
止める,やめる,"to end, to stop",JLPT JLPT_N4
ガラス,ガラス,"glass, pane",JLPT JLPT_N4
～学部,～がくぶ,department of a university,JLPT JLPT_N4
厳しい,きびしい,hard; rigorous; strict,Genki Genki_Ln.13 Intermediate_Japanese_Ln.5 JLPT JLPT_N4
エスカレーター,エスカレーター,escalator,JLPT JLPT_N4
人口,じんこう,population,Intermediate_Japanese_Ln.4 JLPT JLPT_N4
月,つき,moon,Genki Genki_Ln.20 JLPT JLPT_N4
絹,きぬ,silk,JLPT JLPT_N4
ちっとも,ちっとも,not at all (neg. verb),JLPT JLPT_N4
深い,ふかい,"deep, profound",JLPT JLPT_N4
壊れる,こわれる,"to be broken, to break",JLPT JLPT_N4
揺れる,ゆれる,"to shake, to sway",JLPT JLPT_N4
落る,おちる,"to fall, to drop",JLPT JLPT_N4
できるだけ,できるだけ,"if at all possible, as much as possible",JLPT JLPT_N4
悲しい,かなしい,"sad, sorrowful",Genki Genki_Ln.13 JLPT JLPT_N4
中学校,ちゅうがっこう,junior high school pupil,JLPT JLPT_N4
ガス,ガス,gas,JLPT JLPT_N4
祈る,いのる,to pray; to wish,JLPT JLPT_N4
盛ん,さかん,"prosperous, active, thriving",JLPT JLPT_N4
アルバイト,アルバイト,part-time job,Genki Genki_Ln.4 JLPT JLPT_N4
起こす,おこす,to wake (someone) up,Genki Genki_Ln.16 JLPT JLPT_N4
致す,いたす,-- extra-modest expression for する --,Genki Genki_Ln.20 JLPT JLPT_N4
噛む,かむ,"to bite, to chew",JLPT JLPT_N4
赤ちゃん,あかちゃん,"baby, infant",Genki Genki_Ln.21 JLPT JLPT_N4
浅い,あさい,"shallow, superficial",JLPT JLPT_N4
うそ,嘘,lie,JLPT JLPT_N4
小説,しょうせつ,novel,Genki Genki_Ln.20 JLPT JLPT_N4
親,おや,a parent,Genki Genki_Ln.16 Intermediate_Japanese_Ln.6 JLPT JLPT_N4
それに,それに,moreover; besides,Intermediate_Japanese_Ln.2 JLPT JLPT_N4
西洋,せいよう,"the West, Western countries",JLPT JLPT_N4
思う,おもう,"to think, to feel",Genki Genki_Ln.8 JLPT JLPT_N4
パート (タイム),パート (タイム),part time (esp. female part time employees),JLPT JLPT_N4
時代,じだい,"age, period, epoch, era",JLPT JLPT_N4
申し上げる,もうしあげる,"(humble)to say, to tell",JLPT JLPT_N4
～式,～しき,~ ceremony; ~ style,JLPT JLPT_N4
出席,しゅっせきする,attendance,JLPT JLPT_N4
～家,～か,person who is specialized in ~,JLPT JLPT_N4
迎える,むかえる,to welcome; to meet; to greet,JLPT JLPT_N4
触る,さわる,"to touch, to feel",JLPT JLPT_N4
建て,～だて,"~ storied, separate housing",JLPT JLPT_N4
社長,しゃちょう,president of a company,Genki Genki_Ln.11 JLPT JLPT_N4
動物園,どうぶつえん,zoo,JLPT JLPT_N4
捕まえる,つかまえる,"to catch, to arrest",JLPT JLPT_N4
季節,きせつ,season (in reference to weather),Genki Genki_Ln.10 Intermediate_Japanese_Ln.9 JLPT JLPT_N4
寄る,よる,to stop by,Genki Genki_Ln.19 Intermediate_Japanese_Ln.3 JLPT JLPT_N4
決まる,きまる,to be set; fixed (v.i.),Intermediate_Japanese_Ln.2 JLPT JLPT_N4
開く,ひらく,to open; to hold (an event),JLPT JLPT_N4
逃げる,にげる,"to escape, to run away",JLPT JLPT_N4
だから,だから,so; therefore,Genki Genki_Ln.4 JLPT JLPT_N4
残念,ざんねん,regret; regrettable,Intermediate_Japanese_Ln.7 JLPT JLPT_N4
畳,たたみ,tatami mat (Japanese straw mat),JLPT JLPT_N4
丁寧,ていねい,"polite, courteous, careful",JLPT JLPT_N4
地理,ちり,geography,JLPT JLPT_N4
さっき,さっき,a little while ago,Genki Genki_Ln.4 JLPT JLPT_N4
怖い,こわい,"scary, frightening",Genki Genki_Ln.5 JLPT JLPT_N4
包む,つつむ,"to wrap, to cover",Genki Genki_Ln.21 JLPT JLPT_N4
なるべく,なるべく,"if possible, as much as possible",Intermediate_Japanese_Ln.3 JLPT JLPT_N4
無理,むり,"unreasonable, impossible",JLPT JLPT_N4
サンドイッチ,サンドイッチ,sandwich,JLPT JLPT_N4
会議室,かいぎしつ,conference room,JLPT JLPT_N4
品物,しなもの,goods,JLPT JLPT_N4
人形,にんぎょう,"doll, figure",JLPT JLPT_N4
利用,りよう,"use, utilization",JLPT JLPT_N4
飾る,かざる,"to decorate, to adorn",JLPT JLPT_N4
止める,とめる,to stop (something),JLPT JLPT_N4
恥ずかしい,はずかしい,"ashamed, embarrassed",Genki Genki_Ln.18 JLPT JLPT_N4
いくら～ても,いくら～ても,however much one may ~,JLPT JLPT_N4
用事,ようじ,business to take care of; tasks; errands,Genki Genki_Ln.12 JLPT JLPT_N4
ビル,ビル,(abbr.) building,JLPT JLPT_N4
けんかする,けんかする,quarrel,JLPT JLPT_N4
頑張る,がんばる,"to try one's best, to try hard, to persist",Genki Genki_Ln.13 JLPT JLPT_N4
投げる,なげる,"to pitch, to cast away",Intermediate_Japanese_Ln.7 JLPT JLPT_N4
故障,こしょうする,breakdown,JLPT JLPT_N4
力,ちから,"strength, power",JLPT JLPT_N4
受ける,うける,"to take (an examination, interview, etc.); to receive",JLPT JLPT_N4
気分,きぶん,"feeling, mood",JLPT JLPT_N4
間違える,まちがえる,to make a mistake,Genki Genki_Ln.21 JLPT JLPT_N4
そんな,そんな,"such, like that, that sort of",JLPT JLPT_N4
星,ほし,star,JLPT JLPT_N4
場合,ばあい,"case, situation",JLPT JLPT_N4
やっと,やっと,"at last, finally",JLPT JLPT_N4
足りる,たりる,to be sufficient; to be enough,Genki Genki_Ln.17 Intermediate_Japanese_Ln.4 JLPT JLPT_N4
行う,おこなう,to carry out; to conduct (typically used in written language),Intermediate_Japanese_Ln.3 JLPT JLPT_N4
ぶどう,ぶどう,grapes,JLPT JLPT_N4
無くなる,なくなる,"to disappear, to get lost",JLPT JLPT_N4
準備,じゅんびする,prepare,JLPT JLPT_N4
世界,せかい,world,Genki Genki_Ln.10 JLPT JLPT_N4
住所,じゅうしょ,address; place of residence,JLPT JLPT_N4
再来月,さらいげつ,the month after next,JLPT JLPT_N4
林,はやし,"woods, forest",JLPT JLPT_N4
倍,ばい,double,JLPT JLPT_N4
痩せる,やせる,to lose weight,Genki Genki_Ln.7 JLPT JLPT_N4
線,せん,"line, wire",JLPT JLPT_N4
戦争,せんそう,war,JLPT JLPT_N4
決める,きめる,to decide (v.t.),Genki Genki_Ln.10 Intermediate_Japanese_Ln.9 JLPT JLPT_N4
調べる,しらべる,to check; to look up; to inquire; to search,JLPT JLPT_N4
寝坊,ねぼう,sleeping in late,JLPT JLPT_N4
パパ,パパ,"papa, daddy",JLPT JLPT_N4
光る,ひかる,"to shine, to glitter",JLPT JLPT_N4
夫,おっと,husband,JLPT JLPT_N4
雲,くも,cloud,JLPT JLPT_N4
坂,さか,"slope, hill",JLPT JLPT_N4
～(て) しまう,～(て) しまう,to end up ~,JLPT JLPT_N4
飛行場,ひこうじょう,airport,JLPT JLPT_N4
柔道,じゅうどう,judo,JLPT JLPT_N4
決して,けっして,never,JLPT JLPT_N4
事務所,じむしょ,office,JLPT JLPT_N4
連絡,れんらく,"communication, contact, connection",JLPT JLPT_N4
小学校,しょうがっこう,elementary school,Genki Genki_Ln.23 JLPT JLPT_N4
客,きゃく,"guest, customer",Intermediate_Japanese_Ln.2 JLPT JLPT_N4
昔,むかし,old days; past,Genki Genki_Ln.21 JLPT JLPT_N4
美しい,うつくしい,"beautiful, lovely",JLPT JLPT_N4
捨てる,すてる,"throw away (trash), dump, discard",Genki Genki_Ln.15 JLPT JLPT_N4
なさる,なさる,-- honorific expression for する --,Genki Genki_Ln.19 JLPT JLPT_N4
事,こと,"thing(s), matter(s), fact",Genki Genki_Ln.21 JLPT JLPT_N4
どんどん,どんどん,quickly and steadily; at a rapid pace,JLPT JLPT_N4
試合,しあい,"match, game, competition",Genki Genki_Ln.12 Intermediate_Japanese_Ln.7 JLPT JLPT_N4
適当,てきとう,"fitness, suitability",JLPT JLPT_N4
